Date,Open,High,Low,Close,Volume,Adj Close
2009-05-29,69.80,70.25,68.95,69.35,33192400,68.09
2009-05-28,68.54,69.80,68.13,69.23,27800500,67.97
2009-05-27,69.80,70.62,68.17,68.30,23010500,67.06
2009-05-26,68.39,69.95,67.91,69.81,29405600,68.54
2009-05-22,68.62,69.68,68.39,68.83,18624200,67.58
2009-05-21,68.72,68.98,67.99,68.39,24029200,67.14
2009-05-20,71.00,71.39,69.35,69.61,28550700,68.34
2009-05-19,70.31,71.13,70.07,70.52,20851500,69.23
2009-05-18,69.74,70.76,69.50,70.50,25071900,69.21
2009-05-15,69.31,69.75,68.59,69.11,26714600,67.85
2009-05-14,69.52,70.08,65.60,69.76,21298100,68.49
2009-05-13,69.98,70.57,69.43,69.77,26011900,68.50
2009-05-12,69.77,71.20,69.55,70.82,28337300,69.53
2009-05-11,69.48,69.64,68.84,69.27,23715900,68.01
2009-05-08,69.40,71.23,69.39,70.80,35886400,69.10
2009-05-07,69.00,69.04,67.62,68.93,32541600,67.27
2009-05-06,68.04,68.60,67.44,68.58,30814800,66.93
2009-05-05,68.08,68.32,67.16,67.65,19910300,66.02
2009-05-04,68.50,68.91,67.67,68.20,27306100,66.56
2009-05-01,67.13,68.06,66.08,68.01,27385000,66.37
2009-04-30,68.64,68.74,66.22,66.67,35088500,65.07
2009-04-29,67.32,68.63,67.11,68.44,28974900,66.79
2009-04-28,65.36,67.73,65.36,67.08,27421000,65.47
2009-04-27,65.29,66.65,65.05,66.13,26586500,64.54
2009-04-24,66.21,67.00,65.91,66.57,32347600,64.97
2009-04-23,65.31,65.76,64.50,65.71,29213500,64.13
2009-04-22,65.64,65.84,64.56,64.75,31076500,63.19
2009-04-21,65.29,66.28,64.87,66.23,32234400,64.64
2009-04-20,66.02,66.42,65.18,65.29,31874800,63.72
2009-04-17,67.84,68.06,66.58,66.75,32604300,65.14
2009-04-16,68.61,68.61,66.82,67.41,27915600,65.79
2009-04-15,67.59,68.50,67.23,68.14,24545600,66.50
2009-04-14,67.24,67.93,66.35,67.70,32703100,66.07
